NAME,B01003_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_009E,B02001_010E,state,YEAR
Pennsylvania,12779559,10430142,1403143,23641,392595,4279,253070,272689,35774,236915,42,2015
Rhode Island,1053661,854859,68243,5106,34213,373,61085,29782,6665,23117,44,2015
South Carolina,4777576,3210708,1315058,14966,66982,2588,73324,93950,10215,83735,45,2015
South Dakota,843190,716691,13133,72619,10152,332,7940,22323,1306,21017,46,2015
Tennessee,6499615,5059894,1091070,17802,102027,3323,96739,128760,12111,116649,47,2015
Texas,26538614,19874610,3152917,126493,1124011,21655,1585866,653062,149597,503465,48,2015
Vermont,626604,594443,6949,2018,8774,249,2002,12169,528,11641,50,2015
Utah,2903379,2544735,31909,31824,64102,26147,129907,74755,12962,61793,49,2015
Virginia,8256630,5695147,1589345,22570,492973,5304,183124,268167,29832,238335,51,2015
Washington,6985464,5434177,253224,93266,535501,44159,264432,360705,34969,325736,53,2015
West Virginia,1851420,1732235,61367,2953,13485,625,4566,36189,1512,34677,54,2015
Wisconsin,5742117,4967124,360792,50449,143732,1233,96057,122730,14839,107891,55,2015
Wyoming,579679,527763,6142,12658,5319,423,11885,15489,1920,13569,56,2015
Puerto Rico,3583073,2495997,301519,11775,10159,129,431443,332051,19269,312782,72,2015
Alabama,4830620,3325464,1276544,23850,59599,2439,61078,81646,7032,74614,01,2015
Alaska,733375,484250,25022,101313,42921,8841,9273,61755,3202,58553,02,2015
Arizona,6641928,5210335,281576,294721,200090,12471,430890,211845,47488,164357,04,2015
Arkansas,2958208,2307849,459748,18409,40336,6845,62484,62537,5557,56980,05,2015
California,38421464,23747013,2265387,287028,5261978,150370,4974791,1734897,396499,1338398,06,2015
Colorado,5278906,4446095,213787,50008,153467,7695,224374,183480,35786,147694,08,2015
Delaware,926454,642623,200481,3140,33643,306,20995,25266,2699,22567,10,2015
District of Columbia,647484,260325,316447,2154,23822,250,27159,17327,2442,14885,11,2015
Connecticut,3593222,2778362,370501,8908,150670,981,181881,101919,24131,77788,09,2015
Florida,19645772,14934702,3171108,54569,509085,11024,493202,472082,87803,384279,12,2015
Georgia,10006693,6025691,3096757,25887,360448,4704,279403,213803,31108,182695,13,2015
Idaho,1616547,1482914,9900,20504,21711,1921,38371,41226,4935,36291,16,2015
Hawaii,1406299,357164,28688,3012,530551,138901,14864,333119,10332,322787,15,2015
Illinois,12873761,9312771,1846108,28363,645642,3407,747933,289537,58178,231359,17,2015
Indiana,6568645,5529201,603014,14793,121729,2285,152022,145601,19143,126458,18,2015
Iowa,3093526,2820046,97788,9977,62997,1882,39872,60964,6004,54960,19,2015
Kansas,2892987,2464566,168402,24022,75653,1796,63183,95365,10092,85273,20,2015
Kentucky,4397353,3851591,347034,9063,55483,2197,41149,90836,7466,83370,21,2015
Louisiana,4625253,2902538,1484363,27238,77818,1824,47595,83877,9281,74596,22,2015
Maine,1329100,1262026,15037,7811,14590,187,3151,26298,884,25414,23,2015
Maryland,5930538,3416107,1750916,15579,357616,2754,211914,175652,20414,155238,24,2015
Massachusetts,6705586,5334859,478947,13189,400675,1644,281595,194677,33178,161499,25,2015
Michigan,9900571,7823875,1381388,53951,268766,2083,109184,261324,24951,236373,26,2015
Minnesota,5419171,4594367,299176,56561,240786,1970,82085,144226,11014,133212,27,2015
Mississippi,2989192,1764038,1121327,13072,28562,492,26334,35367,2754,32613,28,2016
Missouri,6059651,5000875,701896,25641,107953,6479,68766,148041,12082,135959,29,2016
Montana,1023391,911907,4260,67222,7481,841,5158,26522,1435,25087,30,2016
Nebraska,1881259,1655708,88388,15739,39794,1305,36672,43653,4471,39182,31,2016
Nevada,2839172,1933057,243552,31927,222612,18334,260654,129036,20889,108147,32,2016
New Hampshire,1327503,1243594,17483,2085,32094,229,7112,24906,2375,22531,33,2016
New Jersey,8915456,6075710,1207221,18470,819208,2811,566323,225713,53011,172702,34,2016
New Mexico,2082669,1530636,41957,193295,29168,1340,218476,67797,24343,43454,35,2016
New York,19697457,12667413,3073278,75751,1599216,7528,1697831,576440,150198,426242,36,2016
North Carolina,9940828,6882915,2137131,117479,254550,6588,298795,243370,27777,215593,37,2016
North Dakota,736162,649730,14761,38369,9296,336,5691,17979,1459,16520,38,2016
Ohio,11586941,9519506,1421943,21459,224520,3248,98088,298177,24850,273327,39,2016
Oklahoma,3875589,2823497,281295,286231,77541,4969,102292,299764,14819,284945,40,2016
Oregon,3982267,3387825,74012,45233,160155,14936,124565,175541,17190,158351,41,2016
Pennsylvania,12783977,10402743,1410563,24947,401979,4463,253514,285768,36846,248922,42,2016
Rhode Island,1054491,854026,68886,5130,34598,575,61218,30058,6613,23445,44,2016
South Carolina,4834605,3252252,1322368,15417,68553,2784,73149,100082,10470,89612,45,2016
South Dakota,851058,721410,14078,74187,11351,313,7480,22239,1463,20776,46,2016
Tennessee,6548009,5096733,1100577,18757,105368,3299,90065,133210,12118,121092,47,2016
Texas,26956435,20174403,3221133,128145,1175423,22248,1561683,673400,147528,525872,48,2016
Vermont,626249,592965,7404,1984,9212,206,2309,12169,466,11703,50,2016
Utah,2948427,2572595,32512,31686,66039,26411,141374,77810,12791,65019,49,2016
Virginia,8310301,5712958,1596352,21948,502878,5494,190972,279699,30698,249001,51,2016
Washington,7073146,5470566,256990,94026,552032,44870,276959,377703,35229,342474,53,2016
West Virginia,1846092,1725411,63305,3281,13990,648,5731,33726,1508,32218,54,2016
Wisconsin,5754798,4961193,361730,51459,148077,1378,105038,125923,15125,110798,55,2016
Wyoming,583029,531851,6435,13033,5385,391,10403,15531,2015,13516,56,2016
Puerto Rico,3529385,2448085,320087,11814,9574,182,474879,264764,18682,246082,72,2016
Alabama,4841164,3325037,1282053,23919,60744,2008,61991,85412,6877,78535,01,2016
Alaska,736855,483518,24443,103574,44218,8862,9900,62340,3056,59284,02,2016
Arizona,6728577,5235158,287110,296732,205229,12863,468906,222579,47299,175280,04,2016
Arkansas,2968472,2307136,460638,18697,41539,6738,67645,66079,6519,59560,05,2016
California,38654206,23680584,2261835,285512,5354608,150908,5133600,1787159,399908,1387251,06,2016
Colorado,5359295,4517058,219349,50160,157523,7441,224029,183735,35080,148655,08,2016
Delaware,934695,647002,203027,3494,34428,461,20452,25831,2615,23216,10,2016
District of Columbia,659009,266035,318598,2174,24036,271,29650,18245,2561,15684,11,2016
Connecticut,3588570,2768080,372696,9399,152782,1031,177594,106988,24621,82367,09,2016
Florida,19934451,15130748,3216994,52904,521272,11288,505877,495368,88533,406835,12,2016
Georgia,10099320,6039389,3148134,28950,373983,4916,281491,222457,32837,189620,13,2016
Idaho,1635483,1493155,10433,21454,21630,2003,44758,42050,5205,36845,16,2016
Hawaii,1413673,353643,25871,2715,537363,143973,13479,336629,10612,326017,15,2016
Illinois,12851684,9270907,1837612,29399,655799,4186,753559,300222,60418,239804,17,2016
Indiana,6589578,5534759,608226,15799,130232,2746,151500,146316,19008,127308,18,2016
Iowa,3106589,2823890,103052,9951,66570,2422,39410,61294,5408,55886,19,2016
Kansas,2898292,2468923,167706,23871,77605,1874,62283,96030,9574,86456,20,2016
Kentucky,4411989,3859516,350242,9052,57084,2584,40674,92837,8138,84699,21,2016
Louisiana,4645670,2909290,1494201,26403,78719,1464,50434,85159,8633,76526,22,2016
Maine,1329923,1260476,16303,8013,14643,211,3151,27126,841,26285,23,2016
Maryland,5959902,3408240,1765926,15946,362259,2792,218586,186153,21051,165102,24,2016
Massachusetts,6742143,5343665,489233,13931,411736,2002,278562,203014,32167,170847,25,2016
Michigan,9909600,7817827,1376446,52891,276769,2492,111377,271798,25328,246470,26,2016
Minnesota,5450868,4597525,310853,56904,246819,1969,88296,148502,11416,137086,27,2016
Mississippi,2986220,1755471,1122576,13258,28859,597,27530,37929,3257,34672,28,2017
Missouri,6075300,5004537,703061,25933,112959,6336,71084,151390,11570,139820,29,2017
Montana,1029862,916664,4438,66865,7448,571,5492,28384,1684,26700,30,2017
Nebraska,1893921,1663612,89718,16012,42208,1524,35276,45571,4727,40844,31,2017
Nevada,2887725,1936453,253013,32426,232502,19019,279977,134335,21767,112568,32,2017
New Hampshire,1331848,1244260,18632,2148,33313,289,7016,26190,2397,23793,33,2017
New Jersey,8960161,6085474,1207356,18006,844105,3013,573146,229061,52405,176656,34,2017
New Mexico,2084828,1547843,42187,197191,29991,1390,197944,68282,23333,44949,35,2017
Alabama,4850771,3317702,1287167,25098,62815,2213,66942,88834,7644,81190,01,2017
Alaska,738565,481971,23702,104995,45604,9075,10505,62713,3204,59509,02,2017
Arizona,6809946,5277661,292831,300182,213417,13364,474583,237908,48784,189124,04,2017
Arkansas,2977944,2302141,459969,19476,42368,7062,75106,71822,6651,65171,05,2017
California,38982847,23607242,2263222,292018,5503672,152027,5329952,1834714,399813,1434901,06,2017
New York,19798228,12638791,3100685,77130,1652846,7937,1730813,590026,148758,441268,36,2017
North Carolina,10052564,6937466,2159427,117998,269164,6393,310920,251196,27655,223541,37,2017
North Dakota,745475,654024,17365,39507,10197,341,6600,17441,1188,16253,38,2017
Ohio,11609756,9503779,1428230,21872,235878,3499,103726,312772,25907,286865,39,2017
Oklahoma,3896251,2828569,283821,289871,80670,5543,105686,302091,15279,286812,40,2017
Oregon,4025127,3416776,76347,45332,166351,15157,121000,184164,17499,166665,41,2017
Pennsylvania,12790505,10378174,1417611,24995,417525,3665,251215,297320,35838,261482,42,2017
Rhode Island,1056138,854801,68346,5413,35556,759,59967,31296,6889,24407,44,2017
South Carolina,4893444,3292598,1332110,14992,71994,3015,74328,104407,10727,93680,45,2017
South Dakota,855444,724430,14698,74062,11693,381,6687,23493,1431,22062,46,2017
Tennessee,6597381,5131786,1107392,17568,110605,3784,88745,137501,11432,126069,47,2017
Texas,27419612,20459525,3286950,130360,1236852,23531,1580393,702001,149391,552610,48,2017
Vermont,624636,590499,7921,2072,9680,206,2197,12061,418,11643,50,2017
Utah,2993941,2600077,33619,32079,67545,26742,150596,83283,14531,68752,49,2017
Virginia,8365952,5720209,1605447,22499,520119,5469,200265,291944,30558,261386,51,2017
Washington,7169967,5500837,261743,94754,578822,46071,293007,394733,36006,358727,53,2017
West Virginia,1836843,1714591,65300,3322,14096,541,7193,31800,1712,30088,54,2017
Wisconsin,5763217,4950577,365884,50094,152325,1811,111435,131091,16031,115060,55,2017
Wyoming,583200,532394,6121,13549,5102,470,10247,15317,2113,13204,56,2017
Puerto Rico,3468963,2389446,338939,10849,7789,136,511785,210019,18701,191318,72,2017
Delaware,943732,652170,206290,3482,36553,465,18512,26260,2514,23746,10,2017
District of Columbia,672391,273471,321062,1757,25558,289,30961,19293,2665,16628,11,2017
Connecticut,3594478,2757064,376240,9385,156450,931,183754,110654,25216,85438,09,2017
Florida,20278447,15343997,3270863,56730,543394,12342,536298,514823,89900,424923,12,2017
Georgia,10201635,6061821,3195268,30552,388946,5237,282570,237241,33692,203549,13,2017
Idaho,1657375,1507880,11231,21323,22720,2343,47964,43914,6090,37824,16,2017
Hawaii,1421658,357308,25884,2756,540556,142600,14056,338498,9958,328540,15,2017
Illinois,12854526,9236701,1833501,29696,671811,4275,767145,311397,63104,248293,17,2017
Indiana,6614418,5546787,613060,15027,137680,2635,145791,153438,19804,133634,18,2017
Iowa,3118102,2824197,106762,10791,71178,2913,39527,62734,5151,57583,19,2017
Kansas,2903820,2465518,168470,23503,80738,1923,65253,98415,9305,89110,20,2017
Kentucky,4424376,3862600,353088,9324,59593,2271,41197,96303,7942,88361,21,2017
Louisiana,4663461,2909599,1500648,27094,80980,1401,56216,87523,8886,78637,22,2017
Maine,1330158,1258918,16906,8212,14804,249,2967,28102,885,27217,23,2017
Maryland,5996079,3395212,1782256,16281,373065,2830,236834,189601,21692,167909,24,2017
Massachusetts,6789319,5358373,499774,14336,426225,2253,278835,209523,31591,177932,25,2017
Michigan,9925568,7813199,1374515,51804,289082,2808,115258,278902,25374,253528,26,2017
Minnesota,5490726,4598252,326953,57566,255935,1976,95600,154444,13104,141340,27,2017
Colorado,5436519,4576201,221155,51406,164771,8580,225497,188909,33670,155239,08,2017
Mississippi,2988762,1751193,1125834,13689,28313,707,28833,40193,3550,36643,28,2018
Missouri,6090062,5008342,704896,26952,116720,6662,71162,155328,11364,143964,29,2018
Montana,1041732,925642,4630,67289,7947,757,6032,29435,1798,27637,30,2018
Nebraska,1904760,1666463,90860,17282,44105,1392,36058,48600,5440,43160,31,2018
Nevada,2922849,1935103,261123,35845,234693,19352,296234,140499,23442,117057,32,2018
New Hampshire,1343622,1250014,20516,2090,36124,359,6629,27890,2657,25233,33,2018
New Jersey,8881845,6031747,1196764,18649,832403,3357,567976,230949,53267,177682,34,2018
New Mexico,2092434,1558886,43006,199896,31513,1514,190111,67508,23752,43756,35,2018
New York,19618453,12514949,3068099,79644,1630341,8017,1718220,599183,146584,452599,36,2018
North Carolina,10155624,6994240,2179622,121352,282264,6939,307906,263301,27712,235589,37,2018
North Dakota,752201,655268,20445,39462,10814,378,7528,18306,1197,17109,38,2018
Ohio,11641879,9489832,1438271,23563,249741,3591,109792,327089,26734,300355,39,2018
Oklahoma,3918137,2837772,287959,294676,83392,4471,106757,303110,15080,288030,40,2018
Oregon,4081943,3445933,77789,46961,174510,16006,127084,193660,20228,173432,41,2018
Pennsylvania,12791181,10341442,1423319,24847,427892,4107,258694,310880,38055,272825,42,2018
Rhode Island,1056611,854502,69254,5484,35663,863,58136,32709,7387,25322,44,2018
South Carolina,4955925,3332986,1339360,16686,75084,3004,78597,110208,11089,99119,45,2018
South Dakota,864289,730062,16241,75331,12660,293,6613,23089,1193,21896,46,2018
Tennessee,6651089,5166231,1117489,17848,112915,3806,90666,142134,11728,130406,47,2018
Texas,27885195,20720689,3365783,136061,1308257,23672,1600234,730499,152824,577675,48,2018
Vermont,624977,589546,8058,2106,10579,184,2426,12078,388,11690,50,2018
Utah,3045350,2632056,35862,32657,69810,27096,157990,89879,14964,74915,49,2018
Virginia,8413774,5722660,1613285,22972,531503,5677,208464,309213,33041,276172,51,2018
Washington,7294336,5545997,269854,95048,607429,48043,311170,416795,40641,376154,53,2018
West Virginia,1829054,1704345,66728,3668,14534,350,7290,32139,2028,30111,54,2018
Wisconsin,5778394,4945966,368744,50422,159356,1975,115941,135990,16414,119576,55,2018
Wyoming,581836,532008,5540,14053,4756,539,9361,15579,1748,13831,56,2018
Puerto Rico,3386941,2283720,365010,8504,6684,303,547254,175466,16160,159306,72,2018
Alabama,4864680,3317453,1293186,25576,64609,2182,70055,91619,7079,84540,01,2018
Alaska,738516,478834,24129,106660,46556,8849,11027,62461,3474,58987,02,2018
Arizona,6946685,5364141,305259,309580,228887,14112,471823,252883,50168,202715,04,2018
Arkansas,2990671,2302874,460970,20037,43988,7969,78981,75852,7323,68529,05,2018
California,39148760,23529068,2267875,296475,5604339,153366,5415410,1882227,405831,1476396,06,2018
Colorado,5531141,4655584,227938,54483,172695,8296,214817,197328,34311,163017,08,2018
Delaware,949495,654905,209892,3455,36723,477,18034,26009,2578,23431,10,2018
District of Columbia,684498,280469,321317,1993,26718,340,33518,20143,2631,17512,11,2018
Connecticut,3581504,2734880,378262,9698,158817,1173,185244,113430,24904,88526,09,2018
Florida,20598139,15529098,3316376,58118,559168,12887,580152,542340,92522,449818,12,2018
Georgia,10297484,6079976,3239300,33484,402501,6095,283680,252448,35861,216587,13,2018
Idaho,1687809,1527262,11536,22790,23758,2761,53110,46592,6908,39684,16,2018
Hawaii,1422029,355612,26266,2987,536842,143274,15292,341756,9805,331951,15,2018
Illinois,12821497,9189185,1824125,31864,690822,4582,762506,318413,62866,255547,17,2018
Indiana,6637426,5548277,619472,14925,144991,2818,144648,162295,20887,141408,18,2018
Iowa,3132499,2827889,109911,11549,75083,3129,39168,65770,5130,60640,19,2018
Kansas,2908776,2460619,169801,24050,83531,2143,67588,101044,9398,91646,20,2018
Kentucky,4440204,3866676,354112,9888,62802,2814,44086,99826,8026,91800,21,2018
Louisiana,4663616,2901106,1502916,26272,79872,1468,60419,91563,8858,82705,22,2018
Maine,1332813,1259217,17881,8302,14917,318,2970,29208,1297,27911,23,2018
Maryland,6003435,3373181,1788090,15644,374277,3059,249815,199369,23951,175418,24,2018
Massachusetts,6830193,5360006,510558,14493,442574,2329,284740,215493,33401,182092,25,2018
Michigan,9957488,7818588,1375424,53235,304403,2979,119141,283718,25580,258138,26,2018
Minnesota,5527358,4606044,342186,58982,262359,2187,97833,157767,13309,144458,27,2018
Alabama,4876250,3320247,1299048,25565,66270,2238,70662,92220,6933,85287,01,2019
Alaska,737068,476015,24205,109751,45920,9204,11308,60665,3011,57654,02,2019
Arizona,7050299,5444453,317462,317414,233213,14458,460262,263037,50674,212363,04,2019
Arkansas,2999370,2301044,459542,20434,45504,8733,83576,80537,7658,72879,05,2019
California,39283497,23453222,2274108,303998,5692423,155290,5481792,1922664,414894,1507770,06,2019
Colorado,5610349,4712574,233647,54847,178147,8643,216767,205724,33882,171842,08,2019
Delaware,957248,658237,212302,3729,37009,542,18350,27079,3059,24020,10,2019
District of Columbia,692683,285857,320811,2091,27592,376,34511,21445,3037,18408,11,2019
Connecticut,3575074,2714031,383416,9955,161257,1123,186292,119000,25143,93857,09,2019
Florida,20901636,15702256,3359031,59320,571276,12653,625079,572021,95083,476938,12,2019
Georgia,10403847,6098889,3289020,37440,414481,6233,291872,265912,39023,226889,13,2019
Idaho,1717750,1545409,11918,23136,24287,2755,59676,50569,7968,42601,16,2019
Hawaii,1422094,354847,26025,3710,537355,142997,17433,339727,9194,330533,15,2019
Illinois,12770631,9134903,1813590,33460,698524,4477,757231,328446,62705,265741,17,2019
Indiana,6665703,5553391,626587,15782,151979,2506,145747,169711,21981,147730,18,2019
Iowa,3139508,2826070,116359,11976,75741,3729,39048,66585,5683,60902,19,2019
Kansas,2910652,2455935,170291,24010,85794,2382,71683,100557,8964,91593,20,2019
Kentucky,4449052,3868479,358928,9386,65191,3182,43601,100285,8650,91635,21,2019
Louisiana,4664362,2892275,1502963,26361,80806,1406,65592,94959,8371,86588,22,2019
Maine,1335492,1259522,18468,8660,15109,396,3541,29796,1467,28329,23,2019
Maryland,6018848,3343003,1799094,16762,378126,3034,272137,206692,23109,183583,24,2019
Massachusetts,6850553,5348538,522357,14764,452436,2804,286619,223035,35324,187711,25,2019
Michigan,9965265,7813755,1374314,53316,311721,3099,117801,291259,26495,264764,26,2019
Minnesota,5563378,4609049,356515,58011,268181,2194,104032,165396,14838,150558,27,2019
Mississippi,2984418,1743217,1125623,14269,29605,680,30728,40296,3103,37193,28,2019
Missouri,6104910,5015904,701334,27084,120654,8231,71335,160368,10895,149473,29,2019
Montana,1050649,930204,5303,66839,8259,807,7076,32161,1827,30334,30,2019
Nebraska,1914571,1666871,92406,17673,45655,1327,40253,50386,5104,45282,31,2019
Nevada,2972382,1949707,271005,38026,242267,20022,304947,146408,24017,122391,32,2019
New Hampshire,1348124,1252128,21546,2036,36180,443,7510,28281,1999,26282,33,2019
New Jersey,8878503,6018074,1194882,19711,840168,3458,558665,243545,55033,188512,34,2019
New Mexico,2092454,1565366,44120,199845,32577,1644,180638,68264,22252,46012,35,2019
New York,19572319,12459687,3065471,79512,1647606,8821,1694965,616257,148526,467731,36,2019
North Carolina,10264876,7049919,2200761,123952,292992,7213,316763,273276,28131,245145,37,2019
North Dakota,756717,655136,21985,40006,11006,863,8109,19612,1305,18307,38,2019
Ohio,11655397,9476047,1446193,22816,258199,3880,112836,335426,25623,309803,39,2019
Oklahoma,3932870,2844070,286356,299621,85239,6260,106709,304615,14276,290339,40,2019
Oregon,4129803,3480920,78679,48060,180580,16625,126587,198352,20355,177997,41,2019
Pennsylvania,12791530,10300602,1430664,24691,436324,4198,275177,319874,40362,279512,42,2019
Rhode Island,1057231,850597,71561,5277,35958,810,57807,35221,8244,26977,44,2019
South Carolina,5020806,3372011,1344139,17645,78805,4002,88274,115930,12267,103663,45,2019
South Dakota,870638,733719,17531,76190,12627,504,7230,22837,1099,21738,46,2019
Tennessee,6709356,5205132,1124473,18189,117600,3771,92655,147536,12138,135398,47,2019
Texas,28260856,20903375,3428211,141425,1357273,25292,1643869,761411,159939,601472,48,2019
Vermont,624313,587883,8502,2132,10461,325,2410,12600,428,12172,50,2019
Utah,3096848,2676482,36849,33721,71977,27554,156229,94036,15370,78666,49,2019
Virginia,8454463,5717617,1621592,23873,541133,6179,223794,320275,32870,287405,51,2019
Washington,7404107,5581128,281683,94449,631333,49090,333038,433386,43021,390365,53,2019
West Virginia,1817305,1691600,66990,3667,14523,419,7971,32135,1698,30437,54,2019
Wisconsin,5790716,4946961,371200,51392,161841,2400,118350,138572,17096,121476,55,2019
Wyoming,581024,531304,5582,14164,5025,596,8832,15521,1874,13647,56,2019
Puerto Rico,3318447,2188014,386676,6838,6237,269,554764,175649,15254,160395,72,2019
Pennsylvania,12794885,10155004,1419582,20798,449320,4268,312888,433025,129126,303899,42,2020
California,39346023,22053721,2250962,311629,5834312,149636,5623747,3122016,1472235,1649781,06,2020
West Virginia,1807426,1672255,64285,3146,14228,474,9278,43760,9399,34361,54,2020
Utah,3151239,2682881,38059,33222,73190,29450,160786,133651,47171,86480,49,2020
New York,19514849,12160045,3002401,76535,1674216,9376,1670723,921553,400648,520905,36,2020
District of Columbia,701974,288306,318631,2438,28762,328,33764,29745,7853,21892,11,2020
Alaska,736990,466961,23894,107298,47289,10485,12231,68832,6529,62303,02,2020
Florida,21216924,15199588,3381061,55655,590668,13339,699596,1277017,749495,527522,12,2020
South Carolina,5091517,3386329,1346560,16951,83573,3633,102760,151711,36953,114758,45,2020
North Dakota,760394,651470,23959,39165,11979,1004,8875,23942,4472,19470,38,2020
Maine,1340825,1256030,18635,8894,15270,190,4846,36960,7330,29630,23,2020
Georgia,10516579,6020265,3319844,34962,434603,7127,306609,393169,130839,262330,13,2020
Alabama,4893186,3302834,1301319,24764,67909,2042,74996,119322,26577,92745,01,2020
New Hampshire,1355244,1246602,21045,2197,36581,424,8543,39852,11547,28305,33,2020
Oregon,4176346,3449081,79117,45683,187801,16445,140247,257972,68262,189710,41,2020
Wyoming,581348,525246,5079,13117,4892,589,9707,22718,6920,15798,56,2020
Arizona,7174064,5292498,325105,311014,239190,14633,492027,499597,258075,241522,04,2020
Louisiana,4664616,2856904,1500633,25938,80930,1743,72815,125653,31334,94319,22,2020
Indiana,6696893,5510354,631923,14030,158705,2205,157085,222591,61517,161074,18,2020
Idaho,1754367,1550979,11536,23029,24501,3174,66052,75096,28959,46137,16,2020
Connecticut,3570549,2649994,382161,9079,163262,1189,192217,172647,66586,106061,09,2020
Hawaii,1420074,342923,26717,3508,534519,147698,19791,344918,13098,331820,15,2020
Illinois,12716164,8874067,1796660,33972,709567,5196,757150,539552,244984,294568,17,2020
Massachusetts,6873003,5261787,513369,13999,466044,2786,286774,328244,119347,208897,25,2020
Texas,28635442,19805623,3464424,137921,1415664,25328,1788398,1998084,1294464,703620,48,2020
Montana,1061705,932157,5919,65523,8664,595,8142,40705,7690,33015,30,2020
Nebraska,1923826,1641256,91896,16875,47944,1235,48683,75937,25590,50347,31,2020
Ohio,11675275,9394878,1442655,20442,268527,3907,129717,415149,75898,339251,39,2020
Colorado,5684926,4634305,235692,53671,181733,8883,233413,337229,147359,189870,08,2020
New Jersey,8885418,5820147,1189681,22288,857873,3156,564662,427611,218923,208688,34,2020
Maryland,6037624,3275048,1803128,15860,384429,2650,285370,271139,67457,203682,24,2020
Virginia,8509358,5643436,1620649,22553,570398,5994,240542,405786,104669,301117,51,2020
Vermont,624340,584360,7964,1873,10126,205,2677,17135,2969,14166,50,2020
North Carolina,10386227,7019443,2217522,120272,308958,7368,334295,378369,109896,268473,37,2020
Arkansas,3011873,2269959,457840,19146,46130,10455,88363,119980,37364,82616,05,2020
Washington,7512465,5523881,290245,91766,662902,51117,360578,531976,120428,411548,53,2020
Kansas,2912619,2416165,165837,22278,87093,2344,78857,140045,37310,102735,20,2020
Oklahoma,3949342,2809793,287856,303791,87033,6418,109614,344837,43566,301271,40,2020
Wisconsin,5806975,4895065,367889,48674,163396,2672,134715,194564,54093,140471,55,2020
Mississippi,2981835,1729353,1123545,13951,29742,1215,33999,50030,10256,39774,28,2020
Missouri,6124160,4978046,698043,24274,123810,8887,76782,214318,51673,162645,29,2020
Michigan,9973907,7735902,1360149,50035,316844,3117,131580,376280,83565,292715,26,2020
Rhode Island,1057798,835608,69196,4344,36536,790,59003,52321,22904,29417,44,2020
Minnesota,5600166,4572149,359817,54558,275242,2201,118748,217451,42594,174857,27,2020
Iowa,3150011,2806418,117035,10538,79296,3941,39804,92979,24037,68942,19,2020
New Mexico,2097021,1467849,43476,195166,33695,1853,184680,170302,114872,55430,35,2020
Nevada,3030281,1881048,282722,37715,252314,21398,326603,228481,98165,130316,32,2020
Delaware,967679,652587,212795,3560,38528,705,21937,37567,8973,28594,10,2020
Puerto Rico,3255642,1952451,367906,5697,5882,258,608067,315381,150750,164631,72,2020
Kentucky,4461952,3848305,361230,8364,68139,3033,48165,124716,26648,98068,21,2020
South Dakota,879336,735228,18836,74975,12413,544,7320,30020,5930,24090,46,2020
Tennessee,6772268,5196680,1128806,17178,122897,3959,103760,198988,52258,146730,47,2020
Alabama,4997675,3338590,1324233,21661,70161,1702,86013,155315,45865,109450,01,2021
Alaska,735951,458520,23721,107531,47213,10766,14254,73946,10294,63652,02,2021
Arizona,7079203,4985729,318827,300862,234495,13979,490290,735021,461736,273285,04,2021
Arkansas,3006309,2227020,458086,17459,46388,10627,87626,159103,70121,88982,05,2021
California,39455353,20553732,2233258,360607,5887396,148278,6036865,4235217,2490857,1744360,06,2021
Colorado,5723176,4507448,234065,53143,183391,8192,258867,478070,262707,215363,08,2021
Connecticut,3605330,2595884,389290,8714,167308,1262,215605,227267,114994,112273,09,2021
Delaware,981892,645409,215745,3064,39684,383,28095,49512,17378,32134,10,2021
District of Columbia,683154,276373,305109,1984,27988,359,32484,38857,14262,24595,11,2021
Florida,21339762,14449017,3358469,54466,596862,13065,866158,2001725,1406788,594937,12,2021
Georgia,10625615,5934931,3350903,34928,448181,6894,334875,514903,221633,293270,13,2021
Hawaii,1453498,344295,28142,4286,544643,153485,23633,355014,18697,336317,15,2021
Idaho,1811617,1567799,12242,22799,24616,3016,77835,103310,50399,52911,16,2021
Illinois,12821813,8699413,1804013,42714,725482,5111,795980,749100,430285,318815,17,2021
Indiana,6751340,5483296,635076,11399,163657,2276,167683,287953,106749,181204,18,2021
Iowa,3179090,2795319,119036,10889,79188,4182,46711,123765,46329,77436,19,2021
Kansas,2932099,2386766,165291,21657,87946,2196,88787,179456,67886,111570,20,2021
Kentucky,4494141,3842383,361703,7114,68737,3961,51365,158878,46605,112273,21,2021
Louisiana,4657305,2805875,1486002,25550,80438,2172,79627,177641,65233,112408,22,2021
Maine,1357046,1261097,19525,7578,14917,228,6800,46901,14871,32030,23,2021
Maryland,6148545,3238671,1833987,17266,397087,2928,326831,331775,113106,218669,24,2021
Massachusetts,6991852,5211704,511394,14939,480944,2406,318785,451680,224943,226737,25,2021
Michigan,10062512,7715291,1368177,48361,322218,2915,142181,463369,149857,313512,26,2021
Minnesota,5670472,4576758,376406,52695,283382,2338,120011,258882,74480,184402,27,2021
Mississippi,2967023,1701989,1113414,13357,29092,1129,38053,69989,20161,49828,28,2021
Missouri,6141534,4930466,695678,19904,123406,8468,84084,279528,96321,183207,29,2021
Montana,1077978,938223,6236,65452,8972,581,10155,48359,13846,34513,30,2021
Nebraska,1951480,1630376,93358,17937,48379,1175,60041,100214,45055,55159,31,2021
Nevada,3059238,1799601,284412,37850,255094,21810,345215,315256,165941,149315,32,2021
New Hampshire,1372175,1249067,21834,1988,36625,513,11258,50890,20100,30790,33,2021
